RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	0	374.1401720047	4.6415958405	7.6142387390	104.0590438843	0.0000000000	0.0000000000	0.0000000000	0.5816781521	4.2413578033
[0]	1	410.9755198956	12.3698158264	7.5562596321	97.6281280518	0.0000000000	0.0000000000	0.0000000000	0.6797633171	3.9117202759
[0]	2	408.4957172871	6.0722293854	7.6439447403	95.8884277344	0.0000000000	0.0000000000	0.0000000000	0.7120754719	3.7591531277
[0]	3	428.7552328110	20.7210845947	7.5093364716	96.2042541504	0.0000000000	0.0000000000	0.0000000000	0.7202956676	3.8125638962
[0]	4	396.8952968121	4.3039474487	7.4555821419	95.9268112183	0.0000000000	0.0000000000	0.0000000000	0.7141954899	3.7786731720
[0]	5	404.2725305557	6.3208732605	7.4078702927	97.1340789795	0.0000000000	0.0000000000	0.0000000000	0.6916275024	3.9174599648
[0]	6	396.9272198677	8.3824834824	7.5698947906	98.0785980225	0.0000000000	0.0000000000	0.0000000000	0.6622061729	4.0143008232
[0]	7	403.0256748199	6.4814929962	7.4975547791	96.9947128296	0.0000000000	0.0000000000	0.0000000000	0.6942954063	4.0755929947
[0]	8	398.0705049038	10.9785747528	7.3958086967	99.6345291138	0.0000000000	0.0000000000	0.0000000000	0.6746385098	4.2110528946
[0]	9	391.0267024040	8.5972442627	7.7080249786	96.3819732666	0.0000000000	0.0000000000	0.0000000000	0.7031438351	4.1122236252
[0]	10	398.5164515972	11.7663326263	7.5298128128	96.3372116089	0.0000000000	0.0000000000	0.0000000000	0.7238149643	4.1197633743
[0]	11	384.2065410614	10.3305959702	7.4274430275	96.4725265503	0.0000000000	0.0000000000	0.0000000000	0.7216622829	4.1128835678
[0]	12	392.9390289783	2.9608659744	7.4734973907	98.2482528687	0.0000000000	0.0000000000	0.0000000000	0.6662237644	4.1836252213
[0]	13	404.4826583862	8.3157453537	7.5618939400	96.6470870972	0.0000000000	0.0000000000	0.0000000000	0.7118663788	4.0969657898
[0]	14	396.5948891640	9.3739423752	7.4543542862	98.0268630981	0.0000000000	0.0000000000	0.0000000000	0.6829800606	4.2052860260
[0]	15	376.9483203888	7.3084635735	7.5689754486	99.1361618042	0.0000000000	0.0000000000	0.0000000000	0.6410441399	4.1479249001
[0]	16	390.0037205219	6.2145438194	7.4836158752	96.6678924561	0.0000000000	0.0000000000	0.0000000000	0.7184917927	4.1485853195
