RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	0	6.1571149826	1.3846094608	0.0372126102	2.5792417526	0.0000000000	0.0000000000	0.0000000000	0.0008683205	0.1148214340
[0]	1	0.8334257603	0.4739265442	0.0395777225	0.1932840347	0.0000000000	0.0000000000	0.0000000000	0.0006453991	0.0121645927
[0]	2	0.6403739452	0.3711483479	0.0356571674	0.1019597054	0.0000000000	0.0000000000	0.0000000000	0.0006573200	0.0065300465
[0]	3	0.6473228931	0.3530671597	0.0404968262	0.1161792278	0.0000000000	0.0000000000	0.0000000000	0.0005412102	0.0077621937
[0]	4	0.6281783581	0.3662731647	0.0357558727	0.0976920128	0.0000000000	0.0000000000	0.0000000000	0.0007128716	0.0067317486
[0]	5	0.6362392902	0.3749783039	0.0365204811	0.0968902111	0.0000000000	0.0000000000	0.0000000000	0.0007357597	0.0068364143
[0]	6	0.6428649426	0.3651649952	0.0362517834	0.1050510406	0.0000000000	0.0000000000	0.0000000000	0.0007236004	0.0067098141
RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	0	52.8001408577	7.6614246368	0.1807279587	31.9113178253	0.0000000000	0.0000000000	0.0000000000	0.0003855228	0.1763088703
[0]	1	1.0428967476	0.7822937965	0.0190470219	0.0712022781	0.0000000000	0.0000000000	0.0000000000	0.0003607273	0.0081889629
[0]	2	0.9864332676	0.7597904205	0.0186722279	0.0759959221	0.0000000000	0.0000000000	0.0000000000	0.0002458096	0.0074622631
[0]	3	1.0169425011	0.7157711983	0.0186538696	0.0837044716	0.0000000000	0.0000000000	0.0000000000	0.0002877712	0.0080211163
[0]	4	0.9870054722	0.7572832108	0.0189633369	0.0795030594	0.0000000000	0.0000000000	0.0000000000	0.0002803802	0.0076045990
[0]	5	1.0086903572	0.7844195366	0.0188324451	0.0745756626	0.0000000000	0.0000000000	0.0000000000	0.0002727509	0.0073130131
[0]	6	1.0190534592	0.6638102531	0.0191848278	0.0963733196	0.0000000000	0.0000000000	0.0000000000	0.0002574921	0.0079040527
[0]	7	1.0324687958	0.7721436024	0.0193099976	0.0758752823	0.0000000000	0.0000000000	0.0000000000	0.0002665520	0.0075001717
RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	0	34.7926726341	2.3214297295	0.2885525227	27.3065872192	0.0000000000	0.0000000000	0.0000000000	0.0002541542	0.0000169277
[0]	1	3.6772744656	0.2033586502	0.0103957653	0.0323956013	0.0000000000	0.0000000000	0.0000000000	0.0001728535	2.9880762100
[0]	2	0.6610603333	0.2845830917	0.0102744102	0.0328769684	0.0000000000	0.0000000000	0.0000000000	0.0001480579	0.2496809959
[0]	3	0.6698808670	0.2731776237	0.0103073120	0.0359644890	0.0000000000	0.0000000000	0.0000000000	0.0001513958	0.2665953636
[0]	4	0.7163174152	0.1959202290	0.0105421543	0.0331671238	0.0000000000	0.0000000000	0.0000000000	0.0001993179	0.2361619473
[0]	5	0.5628097057	0.1957616806	0.0105969906	0.0357763767	0.0000000000	0.0000000000	0.0000000000	0.0001463890	0.2338562012
[0]	6	0.8038237095	0.1817617416	0.0107989311	0.0337955952	0.0000000000	0.0000000000	0.0000000000	0.0001530647	0.2519826889
[0]	7	0.6514780521	0.1834156513	0.0106744766	0.0377423763	0.0000000000	0.0000000000	0.0000000000	0.0001649857	0.2605860233
