RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	0	431.1682748795	4.7421960831	7.3602414131	105.1463699341	0.0000000000	0.0000000000	0.0000000000	0.6402277946	4.0383186340
[0]	1	296.1504135132	31.9756774902	6.2752370834	107.9802093506	0.0000000000	0.0000000000	0.0000000000	0.5390429497	3.1889386177
[0]	2	309.5475945473	46.5585823059	6.4085330963	108.0101013184	0.0000000000	0.0000000000	0.0000000000	0.5491597652	3.1781828403
[0]	3	306.7825818062	38.0943069458	6.3784570694	108.7569351196	0.0000000000	0.0000000000	0.0000000000	0.5370166302	3.2824983597
[0]	4	295.0535953045	37.5335006714	6.3143396378	109.5512008667	0.0000000000	0.0000000000	0.0000000000	0.5266523361	3.2116990089
[0]	5	299.9981629848	43.1497535706	6.3000679016	108.8860626221	0.0000000000	0.0000000000	0.0000000000	0.5308473110	3.2163972855
[0]	6	300.8375818729	36.0669937134	6.2737350464	107.0533599854	0.0000000000	0.0000000000	0.0000000000	0.5635383129	3.2791533470
[0]	7	296.1633889675	35.8672714233	6.2904748917	109.4428024292	0.0000000000	0.0000000000	0.0000000000	0.5240769386	3.3091018200
[0]	8	307.6511428356	43.2949905396	6.2785778046	109.3117752075	0.0000000000	0.0000000000	0.0000000000	0.5356879234	3.2110447884
[0]	9	301.1715483665	44.3450012207	6.3759498596	108.0471954346	0.0000000000	0.0000000000	0.0000000000	0.5397496223	3.1797492504
[0]	10	300.8987669945	45.3498382568	6.2773089409	108.5036315918	0.0000000000	0.0000000000	0.0000000000	0.5574789047	3.2126765251
[0]	11	282.3624784946	34.5565719604	6.3875331879	107.0784988403	0.0000000000	0.0000000000	0.0000000000	0.5540001392	3.2677524090
[0]	12	299.9429898262	45.5540275574	6.3819303513	107.8125228882	0.0000000000	0.0000000000	0.0000000000	0.5527257919	3.1487262249
[0]	13	284.8287780285	37.9756393433	6.3036437035	108.1029815674	0.0000000000	0.0000000000	0.0000000000	0.5384144783	3.2877986431
[0]	14	295.9983460903	31.1363887787	6.3495016098	106.7954177856	0.0000000000	0.0000000000	0.0000000000	0.5643060207	3.2175023556
[0]	15	302.8581213951	45.8778648376	6.3302946091	108.9316024780	0.0000000000	0.0000000000	0.0000000000	0.5063948631	3.2525322437
[0]	16	300.3267993927	39.3521957397	6.2878274918	107.9141769409	0.0000000000	0.0000000000	0.0000000000	0.5460000038	3.1573121548
[0]	17	302.2200524807	50.0198249817	6.3440322876	109.6158218384	0.0000000000	0.0000000000	0.0000000000	0.5250566006	3.1836647987
[0]	18	276.6691594124	20.5344257355	6.2369637489	108.1777496338	0.0000000000	0.0000000000	0.0000000000	0.5381300449	3.3036191463
[0]	19	290.6098983288	40.0790138245	6.2857046127	109.8639144897	0.0000000000	0.0000000000	0.0000000000	0.5207772255	3.2550415993
[0]	20	289.7600367069	36.0833206177	6.2923326492	107.4377670288	0.0000000000	0.0000000000	0.0000000000	0.5538415909	3.2130680084
[0]	21	275.7253684998	21.7010040283	6.2374048233	109.7598114014	0.0000000000	0.0000000000	0.0000000000	0.5278882980	3.1764419079
[0]	22	285.0104904175	41.2062911987	6.3286104202	108.2062377930	0.0000000000	0.0000000000	0.0000000000	0.5494730473	3.1993885040
[0]	23	289.9640889168	36.3327484131	6.3238143921	107.3007888794	0.0000000000	0.0000000000	0.0000000000	0.5352191925	3.2165215015
[0]	24	368.0655491352	44.7104911804	6.3221092224	108.1249694824	0.0000000000	0.0000000000	0.0000000000	0.5362839699	3.2619817257
[0]	25	288.5184860229	42.2585105896	6.2742004395	109.1573638916	0.0000000000	0.0000000000	0.0000000000	0.4942905903	3.1861176491
[0]	26	293.3169431686	38.6810531616	6.3550167084	107.7608718872	0.0000000000	0.0000000000	0.0000000000	0.5519833565	3.1723952293
[0]	27	302.9195697308	31.7001991272	6.2295322418	108.5049819946	0.0000000000	0.0000000000	0.0000000000	0.5251264572	3.2514567375
[0]	28	305.7966320515	52.9000358582	6.2859969139	108.3537826538	0.0000000000	0.0000000000	0.0000000000	0.5334939957	3.2789983749
[0]	29	310.6745045185	48.7280921936	6.2713999748	109.2216110229	0.0000000000	0.0000000000	0.0000000000	0.5353958607	3.2629020214
[0]	30	312.3846359253	42.7032394409	6.3281593323	106.4134063721	0.0000000000	0.0000000000	0.0000000000	0.5885705948	3.2469558716
[0]	31	306.8939020634	49.7753868103	6.2978487015	105.9801559448	0.0000000000	0.0000000000	0.0000000000	0.5506217480	3.2538437843
[0]	32	302.4169418812	39.0423622131	6.3451671600	107.9154205322	0.0000000000	0.0000000000	0.0000000000	0.5593476295	3.1657845974
