epoch,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_wRfix_E73 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_wRfix_E73 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_forgetlagfix - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_forgetlagfix - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_sbfix_BETA1.0 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_sbfix_BETA1.0 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.20 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.20 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.30 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.30 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512___80ps_noCut-mixup - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512___80ps_noCut-mixup - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_Baseline_Ep80_2 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_Baseline_Ep80_2 - eval_top1
0,12.7700007568359,0.820000062561035,1.08000005493164,12.1000004722595,1.33000007858276,11.3700004150391,13.8300003540039,0.940000062561035,1.03000004425049,9.5100005645752,12.2500005493164,0.950000065612793,2.61000013275146,21.5499999755859
1,18.9300006774902,1.28000004730225,1.24000004653931,17.6600005912781,1.36000009231567,18.1200008056641,19.5700006591797,1.00000002822876,1.24000007781982,15.9300007415771,18.0300010185242,0.870000050354004,3.34000018615723,23.980000592041
2,23.0200009552002,1.8500001663208,1.96000007858276,24.1700008850098,1.21000008087158,24.7500009277344,26.5400012817383,1.45000007171631,1.41000007095337,20.8800008056641,21.930000390625,1.62000010757446,3.92000022583008,26.2100015380859
3,27.3000015075684,2.40000019683838,2.36000022125244,30.8400017822266,1.48000009918213,35.4400013916016,37.9900017944336,1.97000008468628,1.64000011138916,28.7800005737305,31.7400009033203,2.07000017318726,3.9600002494812,26.7000008666992
4,35.7700016723633,2.81000010223389,3.89000025787353,36.8900013214111,2.18000011978149,41.6800016357422,45.8500022216797,2.66000014419556,2.06000008850098,36.3600016845703,45.3800017333984,2.75000009536743,4.86000020141602,30.4300009765625
5,42.8500015380859,4.6700002281189,6.26000040893555,41.8800014892578,2.77000012130737,47.0100018798828,49.3800020019531,3.11000016098022,2.92000022964478,46.9600022094727,46.8100014160156,3.3600001121521,5.5600003578186,31.6000006713867
6,54.3200025390625,7.46000044555664,8.7100004699707,52.6200025390625,3.79000018310547,52.0500018554688,58.1200028320312,4.21000022888184,2.93000023269653,54.3700019042969,58.3700026367188,4.91000028991699,6.69000020141602,30.960000793457
7,54.2100025878906,9.14000010681152,12.2600004150391,55.1100013671875,5.02000035705566,53.5400024902344,60.6400014648438,6.54000045776367,4.22000014343262,56.4700022460938,58.7700027832031,7.14000031967163,7.61000057373047,33.1600009155273
8,62.160003125,12.2100005126953,17.3900008544922,60.5700024414063,7.570000390625,57.6000020996094,62.3900029785156,10.0000004272461,6.69000032043457,61.3200024902344,65.2500020019531,10.560000604248,7.57000014038086,35.8200012939453
9,62.10000234375,14.6800005249023,22.3900009765625,61.9400026367188,12.9300003173828,59.5600022949219,65.3600034179688,13.8900008056641,10.9200005340576,62.2000026367188,63.7900030273438,12.7000006591797,8.73000010528564,36.03000078125
10,67.350001171875,17.2500003662109,25.8000010742187,66.1400014648438,18.0400006347656,61.2700017578125,67.240003125,17.0800009033203,13.5000006958008,65.2000026367188,68.1500025878906,15.8900006835938,9.11000046386719,37.6700019775391
11,69.720003515625,20.1400010253906,29.28000078125,68.050002734375,21.6600010253906,64.3200024414062,68.4700028320313,20.42000078125,18.1200009033203,65.7200025390625,70.6200024414063,18.9300004150391,9.81000022888184,38.2500009765625
12,70.8300032226562,23.9400010253906,33.1600006347656,69.8100017578125,25.0200010253906,65.8600033203125,70.010001953125,25.1200010498047,22.6000006225586,68.4700033203125,71.540002734375,22.6400013427734,10.9400002502441,41.2400010742188
13,72.0700028320313,27.4700010742187,34.7400014648437,71.060002734375,27.9000011230469,66.7300022460938,71.0100030273438,27.9600010742187,26.3100015136719,69.29000390625,72.9100025390625,25.6800010986328,11.2400005981445,41.1700003417969
14,72.74000390625,29.7300009765625,35.6800010742187,71.43000234375,30.4300014160156,67.3500020507813,71.9700024414063,30.6800008789062,28.6300012207031,70.2500033203125,73.32000390625,27.5000008789062,12.4200006103516,39.8800012207031
15,73.7700034179688,33.310001171875,38.1400008789062,71.840003125,32.2000013671875,68.6500034179687,72.3100029296875,33.71000078125,31.0700011230469,71.1100022460938,73.800002734375,30.7100015136719,13.1500004150391,41.8000005859375
16,74.2800036132813,33.3300016113281,38.9200016113281,72.7700041992187,33.1900009765625,67.5900026367188,72.8200043945313,34.2900010253906,33.290001171875,71.6600030273438,74.5500041992188,31.0000014648437,13.4700004638672,42.6699998779297
17,75.380003515625,36.2800016113281,40.6400020019531,73.1000034179688,35.5100013671875,69.1400024414063,73.720003515625,36.6000012207031,36.0900017578125,72.090001171875,74.9300022460938,33.7800004394531,14.3800006347656,44.6300025878906
18,76.6900021484375,38.1400009277344,41.1300012695313,75.320003125,36.2900012207031,69.7200017578125,74.2200024414063,38.7100017578125,37.2200020996094,72.9800040039063,77.2900029296875,35.0800017089844,14.4700002929688,44.4200022216797
19,76.1600037109375,38.9800015625,42.3300014648437,74.6200040039062,37.3700011230469,70.7100041015625,74.3800032226563,39.9300014648437,38.3500013183594,72.9300026367188,75.4200018554688,37.7600017089844,15.1900006713867,45.9800008300781
20,76.9300021484375,41.4300016601563,44.8800017578125,75.3800040039063,38.5000017578125,71.5500029296875,75.0900033203125,41.83000234375,39.9700029296875,73.35000234375,77.180003125,39.1400018554688,15.5100007202148,46.5800009277344
21,77.7700029296875,42.9500017578125,45.4200024414063,77.2200041015625,39.2600015136719,71.6400038085938,76.8700017578125,42.9900024414062,40.3900020019531,75.0900038085937,78.6800034179688,39.6500024414062,16.6900005126953,47.96000234375
22,77.030001953125,43.7000016601563,46.170001953125,75.90000390625,39.7400016601563,71.7600032226563,75.820003515625,43.1800017578125,41.9100010253906,74.4800021484375,77.29000234375,41.5700021484375,16.4400007568359,48.1800015869141
23,78.6200037109375,44.1700016601563,46.3400016601563,77.6500025390625,40.3600014648437,72.4400033203125,76.9000029296875,43.8800015625,42.0200010742188,75.6100034179688,78.8800029296875,42.1700021484375,17.5000008056641,49.3000021240234
24,79.8000044921875,45.5500020507813,47.5700016601563,78.600003515625,41.3200018554688,73.5000052734375,77.9100036132813,45.7100017578125,43.2300020507813,76.0200038085938,80.2100025390625,43.4900014648438,18.1300007446289,50.2500012207031
25,79.6900032226562,47.12000234375,48.7100017578125,78.8200041015625,41.7300016113281,73.3200032226563,77.400002734375,46.7600015625,44.350001953125,75.6500021484375,79.7900040039063,45.0100018554688,18.6200001220703,50.2200007324219
26,80.3600029296875,47.71000234375,49.5700017578125,78.640003515625,42.3100022460938,73.6700033203125,78.100003515625,47.5000024414063,44.730001171875,75.6400037109375,80.090003125,45.9900021484375,19.1600010253906,51.2100013671875
27,80.6200041992188,48.7400021484375,49.29000234375,79.7800026367188,43.6800020019531,74.42000390625,78.8000051757813,48.0200020507813,46.0300020507813,77.5900025390625,80.7600040039062,46.9400020507813,20.1200008056641,52.3900011230469
28,80.38000234375,49.2500032226563,50.1500034179688,79.0400037109375,43.9900013183594,73.5400034179687,78.030003515625,48.1100021484375,45.4800027832031,76.1400026367187,79.910004296875,46.8400026855469,20.1300007324219,51.6700022216797
29,80.16000234375,50.4100014648438,51.2100013671875,78.840003125,44.0800015625,73.1500025390625,78.7200034179688,49.2800017578125,46.9100014648438,76.9400021484375,79.7900029296875,47.9900022460938,21.1900005126953,52.5300010742188
30,81.1000033203125,49.2600022460938,50.3300028320312,79.5900033203125,43.86000234375,74.200003125,79.1100030273438,48.9900021484375,46.7100022460938,78.050002734375,81.0200037109375,47.9400012695313,21.4500006835937,53.5199998046875
31,81.6800041015625,49.9100026367188,50.7400024414063,80.480004296875,44.9900028320313,75.010003125,79.9500018554688,49.1500021484375,47.1800013671875,78.0300033203125,81.7200040039063,47.8700012695313,21.7900008056641,54.0700020996094
32,81.010005078125,51.1900016601563,52.2200026367188,80.0800030273438,44.9100018554688,74.800001953125,80.59000234375,51.1400022460938,48.1900014648438,77.9100041992187,81.2600046875,49.8200025390625,22.4700006835937,54.1100028320312
33,82.1800043945312,52.0500016601562,52.3400021484375,81.2300048828125,46.2500018554688,75.310003125,81.0800029296875,51.3200020507813,48.5300024414063,79.1000028320313,82.320003125,50.1700013671875,22.5900006347656,54.5300036621094
