epoch,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_sbfix_BETA1.0 - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_wRfix - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_forgetlagfix - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.20 - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.30 - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512__80ps_noCut-mixup - train_loss
0,7.92322336725828,7.95243439153463,7.98172154546786,7.86280934149478,7.98172154546786,7.86294356514426
1,7.66692630580214,7.53971662441222,7.68089472746649,7.37551623031873,7.68089472746649,7.37210823107167
2,7.59753902753194,7.20176692770309,7.37974577591199,6.75510869066939,7.38287521811093,6.73341016609128
3,7.43655172983805,6.52322616096304,7.08376188037776,5.62838935422468,7.11435684107118,5.49706671017559
4,7.30047908624013,5.57638414366906,6.44963899981074,5.21703348557154,6.60908270293269,4.93346695940034
5,7.08610778649648,5.17580710338945,5.41383284480632,5.07627391815186,5.73980647867376,4.69045172619219
6,6.81242407162984,4.97701742669114,4.92348927009006,4.90440619117335,5.3608397132472,4.54805479129823
7,6.21000490188599,4.86678557436005,4.67926244575436,4.78645583704898,5.13988168212189,4.45186910709413
8,5.67699656486511,4.78918420567232,4.55068200375854,4.72204605905633,5.01809275010053,4.37677968449953
9,5.48189978599548,4.72831623494124,4.45585764155668,4.64813921075118,4.94271688801902,4.31967181919002
10,5.21839512189229,4.69962387726087,4.40059573710466,4.60656257428621,4.87307319754646,4.28815862110683
11,5.23500474294027,4.61518628256662,4.34083133785665,4.57752670488859,4.80154972984677,4.27558874482868
12,5.06874630451202,4.59283340277792,4.29485595526815,4.54184772591842,4.76091160093035,4.22240353832726
13,4.93222368558248,4.57016531759951,4.25740865098328,4.47840522966887,4.72150555678776,4.19091205436642
14,4.88166527748108,4.53714777842289,4.22047888731756,4.49108402854518,4.68028418223063,4.16749906539917
15,4.84004036982854,4.50714588565987,4.21190226979616,4.4363595510784,4.68444831598373,4.16430076430826
16,4.88440181414286,4.49984153378911,4.17542874312201,4.42486511531629,4.64293171110607,4.11630471213525
17,4.75907206932704,4.49124949719726,4.15525245866856,4.40395419472142,4.60531502678281,4.11868765774895
18,4.73879977464676,4.45951147239749,4.14259732470793,4.37176778943915,4.59827709765661,4.11349345255299
19,4.68401290178299,4.44002247658097,4.11240396379423,4.34537991975483,4.59008657932282,4.07066654157238
20,4.61033696730932,4.4126134239325,4.09539152794525,4.3475958472804,4.54373960835593,4.06988425815807
21,4.73826011021932,4.3909834813671,4.06835563843992,4.34310303738243,4.53731495993478,4.05144313002835
22,4.70155845483144,4.38904210900058,4.07778156504912,4.30959089178788,4.53526687054407,4.04413264939765
23,4.68960262934367,4.36836892616849,4.03462878796233,4.3043209628055,4.49803203628177,4.02219618669077
24,4.62650204499563,4.3470338693186,4.04271611045389,4.30650008854113,4.49036187785012,4.01639615988531
25,4.66701059738795,4.33989624215775,4.01982743399484,4.25747162919295,4.47002770787194,3.97354740255019
26,4.64337280988693,4.34392291157186,3.99659857629728,4.25017725542972,4.49758551801954,3.95883100774108
27,4.58934011061986,4.31883469349196,3.99701288567872,4.26315456691541,4.44182959057036,3.96499343679733
28,4.74063012599945,4.29239216572096,3.97677631538455,4.25005861834476,4.45238859312875,3.95291455653535
29,4.65090033213298,4.27094846212563,3.96493576153988,4.22131691480938,4.42656520434788,3.93283293627891
30,4.59396091302236,4.25860386736253,3.91226500823718,4.16547341108322,4.30686666939285,3.90223178943666
31,4.5644938548406,4.24663705585384,3.9274180817003,4.15337821006775,4.32495051949889,3.90607102378076
32,4.5219580411911,4.24966704144197,3.92226657546869,4.15206965446472,4.30294953335773,3.88699758754057
33,4.54786063035329,4.23296720240296,3.89188753055925,4.14019859790802,4.28689916841276,3.88866250254527
34,4.59135213295619,4.19712904120694,3.87139177122036,4.1188164806366,4.27600612483182,3.86672429677819
35,4.50954170227051,4.18496176174709,3.87092668068509,4.08677415132523,4.25158154571449,3.86748702385846
36,4.51798286835353,4.16649415112343,3.82803111717481,4.11197379827499,4.26115626555223,3.83280532299971
37,4.41551173528036,4.17018241842254,3.84646057080822,4.08741482019424,4.25347271070376,3.81468534669956
38,4.35443783601125,4.17110748050594,3.82983130166511,4.08466423749924,4.26325939775823,3.81747753880605
39,4.4035347700119,4.14689358743299,3.818257602323,4.07306329488754,4.21484778215597,3.80383614131383
40,4.31175112724304,4.13139681255116,3.79563315375512,4.0467202091217,4.20825007721618,3.80502078513137
