RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	0	383.2050783634	12.5076322556	7.5273127556	100.7574462891	0.0000000000	0.0000000000	0.0000000000	0.6217727661	0.0028522015
[0]	1	618.8292646408	5.0043964386	7.4999155998	97.5646362305	0.0000000000	0.0000000000	0.0000000000	0.6290147305	219.1426239014
[0]	2	616.2138490677	7.7310724258	7.3386697769	100.5323867798	0.0000000000	0.0000000000	0.0000000000	0.5897235870	215.6555938721
[0]	3	588.9826576710	11.7669010162	7.4667758942	97.4961318970	0.0000000000	0.0000000000	0.0000000000	0.6295828819	194.8561096191
[0]	4	583.1845462322	7.1810231209	7.4201745987	98.6966552734	0.0000000000	0.0000000000	0.0000000000	0.6104803085	194.5917358398
[0]	5	599.2035017014	7.2320475578	7.5632495880	96.5165023804	0.0000000000	0.0000000000	0.0000000000	0.6305003166	208.0257110596
[0]	6	572.6708691120	7.6124706268	7.3924069405	98.2576751709	0.0000000000	0.0000000000	0.0000000000	0.6170012951	200.7926025391
[0]	7	584.5065662861	7.3255586624	7.3691492081	99.5920562744	0.0000000000	0.0000000000	0.0000000000	0.6091647148	205.5594177246
[0]	8	591.5909802914	4.8050608635	7.2435512543	100.6585464478	0.0000000000	0.0000000000	0.0000000000	0.5631043911	202.8065185547
[0]	9	594.0571668148	11.2030534744	7.4043474197	98.7904205322	0.0000000000	0.0000000000	0.0000000000	0.6233193874	206.8723297119
[0]	10	563.3674113750	7.8370437622	7.4228529930	98.8005065918	0.0000000000	0.0000000000	0.0000000000	0.5911970139	189.4825897217
[0]	11	572.9833836555	3.7939126492	7.3492021561	98.4115371704	0.0000000000	0.0000000000	0.0000000000	0.5935122967	193.1388397217
[0]	12	616.1696681976	6.7142443657	7.4657182693	99.0502929688	0.0000000000	0.0000000000	0.0000000000	0.5935411453	192.0957641602
[0]	13	598.7766807079	3.5170593262	7.3896732330	99.2071838379	0.0000000000	0.0000000000	0.0000000000	0.5932378769	220.3553466797
[0]	14	593.2397568226	5.6188077927	7.3555593491	100.3359603882	0.0000000000	0.0000000000	0.0000000000	0.5828254223	199.3401336670
[0]	15	597.8095426559	7.3930530548	7.4385356903	97.0134429932	0.0000000000	0.0000000000	0.0000000000	0.6155436039	179.8292846680
[0]	16	620.0331470966	4.4188938141	7.6167087555	97.8578033447	0.0000000000	0.0000000000	0.0000000000	0.6047260761	226.6229400635
[0]	17	629.9718894958	4.0115022659	7.3682837486	98.2901229858	0.0000000000	0.0000000000	0.0000000000	0.6060121059	217.5832366943
[0]	18	610.8931343555	19.1444435120	7.5280647278	97.3239593506	0.0000000000	0.0000000000	0.0000000000	0.6465024948	213.8877868652
[0]	19	676.1844713688	21.2000789642	7.4320950508	98.8216705322	0.0000000000	0.0000000000	0.0000000000	0.6183776855	238.6489410400
[0]	20	1117.3791387081	26.1129150391	7.3540701866	101.8060684204	0.0000000000	0.0000000000	0.0000000000	0.5504126549	734.6599731445
[0]	21	563.7128851414	4.7942686081	7.4596252441	97.0978317261	0.0000000000	0.0000000000	0.0000000000	0.6475789547	192.3152770996
[0]	22	589.1713588238	4.5851135254	7.3688883781	97.4947586060	0.0000000000	0.0000000000	0.0000000000	0.6183891296	192.7442932129
[0]	23	589.1587455273	28.0633621216	7.2525386810	101.0692062378	0.0000000000	0.0000000000	0.0000000000	0.5699110031	184.8687744141
[0]	24	581.6424210072	3.6848480701	7.3524069786	98.5139770508	0.0000000000	0.0000000000	0.0000000000	0.5930831432	192.2275848389
[0]	25	580.1254711151	5.2232627869	7.4139952660	98.7148132324	0.0000000000	0.0000000000	0.0000000000	0.5985462666	190.7078552246
[0]	26	579.8061470985	9.7719793320	7.4162721634	98.9519119263	0.0000000000	0.0000000000	0.0000000000	0.5777051449	201.9382934570
[0]	27	559.3409912586	7.1091098785	7.4038391113	99.5853805542	0.0000000000	0.0000000000	0.0000000000	0.5719881058	190.9455108643
[0]	28	613.7809257507	11.2831087112	7.4291839600	99.2787246704	0.0000000000	0.0000000000	0.0000000000	0.5999865532	197.6940460205
[0]	29	583.1904075146	17.5243721008	7.3789815903	100.4352340698	0.0000000000	0.0000000000	0.0000000000	0.5861635208	188.5627136230
[0]	30	615.7251713276	7.6878623962	7.4281973839	98.4679336548	0.0000000000	0.0000000000	0.0000000000	0.6102945805	201.9514007568
[0]	31	582.6112411022	11.8376560211	7.3268017769	98.9009017944	0.0000000000	0.0000000000	0.0000000000	0.6075105667	195.7732696533
[0]	32	568.0121891499	4.9424095154	7.3677558899	100.6611022949	0.0000000000	0.0000000000	0.0000000000	0.5555653572	182.9552612305
[0]	33	545.9124701023	5.2009019852	7.6186647415	100.0131607056	0.0000000000	0.0000000000	0.0000000000	0.5539238453	171.8778839111
[0]	34	564.1650192738	3.9069080353	7.4052309990	100.5755157471	0.0000000000	0.0000000000	0.0000000000	0.5553781986	188.4258422852
